rel_id,song_id,author_id,合作类型,备注,最新更新时间
120058_A167,120058,A167,,,2026-03-24 01:48:46
120059_A222,120059,A222,,,2026-03-24 01:48:46
120060_A188,120060,A188,,,2026-03-24 01:48:46
120061_A007,120061,A007,,,2026-03-24 01:48:46
120062_A082,120062,A082,,,2026-03-24 01:48:46
120063_A188,120063,A188,,,2026-03-24 01:48:46
120064_A077,120064,A077,,,2026-03-24 01:48:46
120065_A197,120065,A197,,,2026-03-24 01:48:46
120066_A181,120066,A181,,,2026-03-24 01:48:46
120067_A043,120067,A043,,,2026-03-24 01:48:46
120068_A106,120068,A106,,,2026-03-24 01:48:46
120069_A052,120069,A052,,,2026-03-24 01:48:46
120070_A223,120070,A223,,,2026-03-24 01:48:46
120071_A224,120071,A224,,,2026-03-24 01:48:46
120072_A043,120072,A043,,,2026-03-24 01:48:46
120073_A022,120073,A022,,,2026-03-24 01:48:46
120074_A225,120074,A225,,,2026-03-24 01:48:46
120075_A105,120075,A105,,,2026-03-24 01:48:46
120076_A128,120076,A128,,,2026-03-24 01:48:46
120077_A226,120077,A226,,,2026-03-24 01:48:46
120078_A227,120078,A227,,,2026-03-24 01:48:46
120079_A228,120079,A228,,,2026-03-24 01:48:46
120080_A229,120080,A229,,,2026-03-24 01:48:46
120081_A230,120081,A230,,,2026-03-24 01:48:46
120082_A106,120082,A106,,,2026-03-24 01:48:46
120083_A231,120083,A231,,,2026-03-24 01:48:46
120084_A232,120084,A232,,,2026-03-24 01:48:46
120085_A005,120085,A005,,,2026-03-24 01:48:46
120086_A016,120086,A016,,,2026-03-24 01:48:46
120087_A105,120087,A105,,,2026-03-24 01:48:46
120088_A216,120088,A216,,,2026-03-24 01:48:46
120089_A116,120089,A116,,,2026-03-24 01:48:46
120090_A233,120090,A233,,,2026-03-24 01:48:46
120091_A215,120091,A215,,,2026-03-24 01:48:46
120092_A234,120092,A234,,,2026-03-24 01:48:46
120093_A235,120093,A235,,,2026-03-24 01:48:46
120094_A236,120094,A236,,,2026-03-24 01:48:46
120095_A041,120095,A041,,,2026-03-24 01:48:46
120096_A237,120096,A237,,,2026-03-24 01:48:46
120097_A123,120097,A123,,,2026-03-24 01:48:46
120098_A006,120098,A006,,,2026-03-24 01:48:46
120099_A034,120099,A034,,,2026-03-24 01:48:46
120100_A238,120100,A238,,,2026-03-24 01:48:46
120101_A047,120101,A047,,,2026-03-24 01:48:46
120102_A239,120102,A239,,,2026-03-24 01:48:46
120103_A061,120103,A061,,,2026-03-24 01:48:46
120104_A206,120104,A206,,,2026-03-24 01:48:46
120105_A240,120105,A240,,,2026-03-24 01:48:46
120106_A116,120106,A116,,,2026-03-24 01:48:46
120107_A241,120107,A241,,,2026-03-24 01:48:46
120108_A242,120108,A242,,,2026-03-24 01:48:46
120109_A240,120109,A240,,,2026-03-24 01:48:46
120110_A040,120110,A040,,,2026-03-24 01:48:46
120111_A243,120111,A243,,,2026-03-24 01:48:46
